articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
16-11-2014_PS,32,32,n,0,MATCH,NA
16-11-2014_PS,118,118,n,0,MATCH,NA
16-11-2014_PS,90,90,n,0,MATCH,NA
16-11-2014_PS,72,72,n,0,MATCH,NA
16-11-2014_PS,168,168,n,0,MATCH,NA
16-11-2014_PS,65.6,65.6,n,0,MATCH,NA
16-11-2014_PS,56,55.9,n,0.1785714285714311,MINOR_ERROR,NA
16-11-2014_PS,55.6,55.6,n,0,MATCH,NA
16-11-2014_PS,25,25,n,0,MATCH,NA
16-11-2014_PS,39.8,39.8,n,0,MATCH,NA
16-11-2014_PS,32.2,32.2,n,0,MATCH,NA
16-11-2014_PS,53.1,53.1,n,0,MATCH,NA
16-11-2014_PS,48.3,48.3,n,0,MATCH,NA
16-11-2014_PS,37.8,37.8,n,0,MATCH,NA
16-11-2014_PS,37.5,37.5,n,0,MATCH,NA
16-11-2014_PS,41.5,41.5,n,0,MATCH,NA
16-11-2014_PS,42.2,42.2,n,0,MATCH,NA
16-11-2014_PS,62.5,62.5,n,0,MATCH,NA
16-11-2014_PS,54.8,54.8,n,0,MATCH,NA
16-11-2014_PS,30.6,30.6,n,0,MATCH,NA
16-11-2014_PS,36.9,36.9,n,0,MATCH,NA
16-11-2014_PS,50,50,n,0,MATCH,NA
16-11-2014_PS,42.9,42.9,n,0,MATCH,NA
16-11-2014_PS,40.3,40.3,n,0,MATCH,NA
16-11-2014_PS,41.7,41.7,n,0,MATCH,NA
16-11-2014_PS,100,100,n,0,MATCH,NA
16-11-2014_PS,85.7,85.7,n,0,MATCH,NA
16-11-2014_PS,72.3,72.3,n,0,MATCH,NA
16-11-2014_PS,68.2,68.2,n,0,MATCH,NA
16-11-2014_PS,65.5,65.5,n,0,MATCH,NA
16-11-2014_PS,78,78,n,0,MATCH,NA
16-11-2014_PS,77.3,77.3,n,0,MATCH,NA
16-11-2014_PS,75.6,75.6,n,0,MATCH,NA
16-11-2014_PS,71,71,n,0,MATCH,NA
16-11-2014_PS,73.9,73.9,n,0,MATCH,NA
